
AS',Afghanistan
EU',Åland Islands
EU',Albania
AF',Algeria
OC',American Samoa
EU',Andorra
AF',Angola
NA',Anguilla
AN',Antarctica
NA',Antigua and Barbuda
SA',Argentina
AS',Armenia
NA',Aruba
OC',Australia
EU',Austria
AS',Azerbaijan
NA',Bahamas
AS',Bahrain
AS',Bangladesh
NA',Barbados
EU',Belarus
EU',Belgium
NA',Belize
AF',Benin
NA',Bermuda
AS',Bhutan
SA',Bolivia
NA',"Bonaire, Sint Eustatius and Saba"
EU',Bosnia and Herzegovina
AF',Botswana
AN',Bouvet Island (Bouvetoya)
SA',Brazil
AS',British Indian Ocean Territory (Chagos Archipelago)
NA',British Virgin Islands
AS',Brunei Darussalam
EU',Bulgaria
AF',Burkina Faso
AF',Burundi
AS',Cambodia
AF',Cameroon
NA',Canada
AF',Cape Verde
NA',Cayman Islands
AF',Central African Republic
AF',Chad
SA',Chile
AS',China
AS',Christmas Island
AS',Cocos (Keeling) Islands
SA',Colombia
AF',Comoros
AF',Congo
AF',Congo
OC',Cook Islands
NA',Costa Rica
AF',Cote d'Ivoire
EU',Croatia
NA',Cuba
NA',Curaçao
AS',Cyprus
EU',Czech Republic
EU',Denmark
AF',Djibouti
NA',Dominica
NA',Dominican Republic
SA',Ecuador
AF',Egypt
NA',El Salvador
AF',Equatorial Guinea
AF',Eritrea
EU',Estonia
AF',Ethiopia
EU',Faroe Islands
SA',Falkland Islands (Malvinas)
OC',Fiji
EU',Finland
EU',France
SA',French Guiana
OC',French Polynesia
AN',French Southern Territories
AF',Gabon
AF',Gambia
AS',Georgia
EU',Germany
AF',Ghana
EU',Gibraltar
EU',Greece
NA',Greenland
NA',Grenada
NA',Guadeloupe
OC',Guam
NA',Guatemala
EU',Guernsey
AF',Guinea
AF',Guinea-Bissau
SA',Guyana
NA',Haiti
AN',Heard Island and McDonald Islands
EU',Holy See (Vatican City State)
NA',Honduras
AS',Hong Kong
EU',Hungary
EU',Iceland
AS',India
AS',Indonesia
AS',Iran
AS',Iraq
EU',Ireland
EU',Isle of Man
AS',Israel
EU',Italy
NA',Jamaica
AS',Japan
EU',Jersey
AS',Jordan
AS',Kazakhstan
AF',Kenya
OC',Kiribati
AS',Korea
AS',Korea
AS',Kuwait
AS',Kyrgyz Republic
AS',Lao People's Democratic Republic
EU',Latvia
AS',Lebanon
AF',Lesotho
AF',Liberia
AF',Libya
EU',Liechtenstein
EU',Lithuania
EU',Luxembourg
AS',Macao
EU',Macedonia
AF',Madagascar
AF',Malawi
AS',Malaysia
AS',Maldives
AF',Mali
EU',Malta
OC',Marshall Islands
NA',Martinique
AF',Mauritania
AF',Mauritius
AF',Mayotte
NA',Mexico
OC',Micronesia
EU',Moldova
EU',Monaco
AS',Mongolia
EU',Montenegro
NA',Montserrat
AF',Morocco
AF',Mozambique
AS',Myanmar
AF',Namibia
OC',Nauru
AS',Nepal
EU',Netherlands
OC',New Caledonia
OC',New Zealand
NA',Nicaragua
AF',Niger
AF',Nigeria
OC',Niue
OC',Norfolk Island
OC',Northern Mariana Islands
EU',Norway
AS',Oman
AS',Pakistan
OC',Palau
AS',Palestinian Territory
NA',Panama
OC',Papua New Guinea
SA',Paraguay
SA',Peru
AS',Philippines
OC',Pitcairn Islands
EU',Poland
EU',Portugal
NA',Puerto Rico
AS',Qatar
AF',Réunion
EU',Romania
EU',Russian Federation
AF',Rwanda
NA',Saint Barthélemy
AF',"Saint Helena, Ascension and Tristan da Cunha"
NA',Saint Kitts and Nevis
NA',Saint Lucia
NA',Saint Martin
NA',Saint Pierre and Miquelon
NA',Saint Vincent and the Grenadines
OC',Samoa
EU',San Marino
AF',Sao Tome and Principe
AS',Saudi Arabia
AF',Senegal
EU',Serbia
AF',Seychelles
AF',Sierra Leone
AS',Singapore
NA',Sint Maarten (Dutch part)
EU',Slovakia (Slovak Republic)
EU',Slovenia
OC',Solomon Islands
AF',Somalia
AF',South Africa
AN',South Georgia and the South Sandwich Islands
AF',South Sudan
EU',Spain
AS',Sri Lanka
AF',Sudan
SA',Suriname
EU',Svalbard & Jan Mayen Islands
AF',Swaziland
EU',Sweden
EU',Switzerland
AS',Syrian Arab Republic
AS',Taiwan
AS',Tajikistan
AF',Tanzania
AS',Thailand
AS',Timor-Leste
AF',Togo
OC',Tokelau
OC',Tonga
NA',Trinidad and Tobago
AF',Tunisia
AS',Turkey
AS',Turkmenistan
NA',Turks and Caicos Islands
OC',Tuvalu
AF',Uganda
EU',Ukraine
AS',United Arab Emirates
EU',United Kingdom of Great Britain & Northern Ireland
NA',United States of America
OC',United States Minor Outlying Islands
NA',United States Virgin Islands
SA',Uruguay
AS',Uzbekistan
OC',Vanuatu
SA',Venezuela
AS',Vietnam
OC',Wallis and Futuna
AF',Western Sahara
AS',Yemen
AF',Zambia
AF',Zimbabwe
